Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
09228F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,7;
09228G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,56;
09228H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,28;
09315A;Bronchoskopie ;K110;Berechnung im Zusammenhang mit der Durchführung einer Erhebung gemäß § 5 der Richtlinie des G-BA über die Verordnung von außerklinischer Intensivpflege;;;
09910A;Zuschlag TSS-Terminvermittlung bis 5. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
09910B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
09910C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
09910D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
09910E;Zuschlag TSS-Terminvermittlung bis 5. Lebensjahr ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,4;
09910F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,7;
09910G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,56;
09910H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,28;
09911A;Zuschlag TSS-Terminvermittlung 6.- 59. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
09911B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
09911C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
09911D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
09911E;Zuschlag TSS-Terminvermittlung 6.- 59. Lebensjahr ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,4;
09911F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,7;
09911G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,56;
09911H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,28;
09912A;Zuschlag TSS-Terminvermittlung ab 60. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
09912B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
09912C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
09912D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
09912E;Zuschlag TSS-Terminvermittlung ab 60. Lebensjahr ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,4;
09912F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,7;
09912G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,56;
09912H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ab 60. Lebensjahr ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,28;
10210H;Grundpauschale bis 5. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
10210R;Grundpauschale bis 5. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
10210S;Grundpauschale bis 5. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
10210V;Grundpauschale bis 5. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
10210W;Grundpauschale bis 5. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
10211H;Grundpauschale 6. - 59. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
10211R;Grundpauschale 6. - 59. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
10211S;Grundpauschale 6. - 59. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
10211V;Grundpauschale 6. - 59. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
10211W;Grundpauschale 6. - 59. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
10212H;Grundpauschale ab 60. Lebensjahr ;K14;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 der Allgemeinen Bestimmungen;50 % Abschlag gemäß Allgemeine Bestimmung 2.1.6 (Auftragsleistung ausschließl. zu Leist. Anhang 1);Punktezahl der Basis-GOP x Faktor 0,5;Prüfzeit der Basis-GOP x Faktor 0,5
10212R;Grundpauschale ab 60. Lebensjahr ;K16;Leistungsberechnung entsprechend 5.1 der Allgemeinen Bestimmungen für Berufsausübungsgemeinschaften oder Arztpraxen mit angestellten Ärzten;10 % Aufschlag von der jeweiligen Punktzahl;Punktezahl der Basis-GOP x Faktor 1,1;Prüfzeit der Basis-GOP x Faktor 1,1
10212S;Grundpauschale ab 60. Lebensjahr ;K79;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden i.V.m. 5.1 der Allgemeinen Bestimmungen (BAG oder Arztpraxen mit angestellten Ärzten);;Punktezahl der Basis-GOP x Faktor 0,825;Prüfzeit der Basis-GOP x Faktor 0,83
10212V;Grundpauschale ab 60. Lebensjahr ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
10212W;Grundpauschale ab 60. Lebensjahr ;K17;Leistungsberechnung für Auftragsleistungen entsprechend 2.1.6 sowie Aufschlag entsprechend 5.1 der Allgemeinen Bestimmungen;50 % Abschlag gemäß der Allgemeinen Bestimmung 2.1.6 (Auftrag zur Durchführung von Leistungen aus Anhang 1) und 10 % Aufschlag gemäß Allgemeine Bestimmung 5.1;Punktezahl der Basis-GOP x Faktor 0,55;Prüfzeit der Basis-GOP x Faktor 0,55
10220V;Zuschlag für die hautärztliche Grundversorgung ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
10222V;Zuschlag zur GOP 10220 ;K78;Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;Prüfzeit der Basis-GOP x Faktor 0,75
10228A;Zuschlag TSS-Terminvermittlung ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
10228B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
10228C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
10228D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
10228E;Zuschlag TSS-Terminvermittlung ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,5;
10228F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;
10228G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,6;
10228H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,3;
10910A;Zuschlag TSS-Terminvermittlung bis 5. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
10910B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
10910C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
10910D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
10910E;Zuschlag TSS-Terminvermittlung bis 5. Lebensjahr ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,5;
10910F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;
10910G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,6;
10910H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall bis 5. Lebensjahr ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,3;
10911A;Zuschlag TSS-Terminvermittlung 6.- 59. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
10911B;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.2;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;;
10911C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
10911D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
10911E;Zuschlag TSS-Terminvermittlung 6.- 59. Lebensjahr ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,5;
10911F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,75;
10911G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,6;
10911H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall 6.- 59. Lebensjahr ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,3;
10912A;Zuschlag TSS-Terminvermittlung ab 60. Lebensjahr ;K77.1;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 2,0;
