Code;Bezeichnung;Kategorie-Code;Kategorie-Verwendungstext;Kategorie-Freitext;Berechnungsformel;Formel (Prüfzeit)
01323C;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.3;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,8;
01323D;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.4;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen;;Punktezahl der Basis-GOP x Faktor 0,4;
01323E;Zuschlag TSS-Terminvermittlung ;K77.8;Zuschlag in Höhe von 200% für TSS-Akutfall gemäß 4.3.10.2 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 1,6;
01323F;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.9;Zuschlag in Höhe von 100% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom gleichen bis 4. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,8;
01323G;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.10;Zuschlag in Höhe von 80% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 5. bis 14. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,64;
01323H;Zuschlag TSS-Terminvermittlung oder Hausarztvermittlungsfall ;K77.11;Zuschlag in Höhe von 40% für TSS-Terminfall und/oder Hausarztvermittlungsfall vom 15. bis 35. Kalendertag gemäß 4.3.10.1 oder 4.3.10.3 der Allgemeinen Bestimmungen i.V.m. Abschlag gemäß 4.3.1 der Allgemeinen Bestimmungen, wenn ausschließlich Arzt-Patienten-Kontakte im Rahmen einer Videosprechstunde stattfinden;;Punktezahl der Basis-GOP x Faktor 0,32;
01410E;Besuch ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01410L;Besuch ;K102;Kennzeichnung für die Berechnung im Zusammenhang mit der Versorgung gemäß den Leistungen des Abschnitts 37.5 (KSVPsych-RL) oder des Abschnitts 37.6 (KJ-KSVPsych-RL);;;
01410R;Besuch ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
01410S;Besuch ;K137;Kennzeichnung von durch Fachärzte sowie Kinderärzte abgerechneten Besuchen gemäß Beschluss des Erweiterten Bewertungsausschusses in seiner 85. Sitzung am 20. Mai 2025 (Teil A, Protokollnotiz Nr. 3);;;
